"ref.cve","cve-[0-9]+-[0-9]+"
"ref.linux.bugzilla","http(s)*://bugzilla\.kernel\.org/show_bug\.cgi\?id=[0-9]+"
"linux.oops.null","bug: unable to handle kernel null pointer dereference at"
"linux.oops.pagefault","bug: unable to handle kernel paging request at"
"linux.oops.assert","kernel bug at"
"linux.oops.generalprotection","general protection fault:"
"linux.warn.lockdep","info: possible circular locking dependency detected"
"linux.newdev","add support for|quirk"
"linux.feature.page","page"
"linux.feature.xattr","xattr"
"linux.feature.io","io"
"prog.numtype","\s+(int|long|short|char|double|float|void)\s"
"prog.func","[a-z][0-9a-z_]*\([^\(\)]*\)"
"prog.bit","bit mask"
"prog.endian","endian"
"prog.cast","cast"
"prog.align","alignment|padding"
"bug.memory.null","null (pointer )*deref(erence)*"
"bug.error.check","check(s|ed)* (null|error)"
"bug.error.return","(wrong|incorrect) (return|error) (code|value)"
"prog.path.error","(error|failure) path"
"prog.path.exit","exit"
"bug.memory.init","(un)*initiali(z|s)e|miss(ing)* initial"
"bug.memory.overflow","(buffer|array) (overflow|underflow|overrun|underrun)"
"bug.memory.corruption","use[- ]after[- ]free|double free|memory corruption"
"bug.memory.corruption.doublefree","double free"
"bug.memory.corruption.useafterfree","use[- ]after[- ]free"
"bug.memory.boundary","(index[- ])*out[- ]of[- ]bound[s]*|off[- ]by[- ]one[- ]|integer overflow|string termination"
"bug.memory.leak","memory leak(age)*|miss(ing)* (k|v)*free"
"bug.leak","miss(ing)* free"
"bug.concurrency","race|racy|racing|race condition|miss(ing)* .*lock|double .*lock|recursive lock|deadlock"
"bug.concurrency.ato","race|racy|racing|race condition|miss(ing)* .*lock"
"bug.concurrency.misslock","miss(ing)* .*lock"
"bug.concurrency.doublelock","double .*lock"
"bug.concurrency.wronglock","wrong .*lock"
"bug.concurrency.deadlock","recursive lock|deadlock|sleep in atomic"
"bug.concurrency.sleepinatomic","sleep in atomic"
"gen.conseq.crash","crash|oops|hang|infinite loop"
"gen.conseq.corruption","data corruption"
"gen.conseq.infoleak","info(rmation)* leak(age)*"
#add like: "A.B.C","regex (java format)"
